index,FastText,SIF,selected,total
0,0.7949778,0.8233803289234537,3,13
1,0.77538735,0.7273205284044307,3,9
2,0.76518613,0.6005897590483602,7,123
3,0.8336162,0.7378190164030322,3,7
4,0.8231507,0.7727643448759656,3,12
5,0.7496565,0.6076381697474383,5,6
6,0.8238918,0.7523440432070329,3,7
7,0.7721277,0.664864784859616,7,66
8,0.89232475,0.7560663555502676,7,20
9,0.7930932,0.6982592576951323,7,21
10,0.76174384,0.6405849789983226,5,6
11,0.90349835,0.8191174512816128,7,18
12,0.81074595,0.6524109001027101,3,17
13,0.83245814,0.7018059483372872,6,6
14,0.82751405,0.6227688391717144,3,9
15,0.8155274,0.70055479929833,7,21
16,0.87257594,0.7695224905717908,5,6
17,0.8280501,0.7788881801006556,7,20
18,0.84755534,0.7070029837013112,3,14
19,0.8030086,0.6603268183297458,3,11
20,0.8295707,0.7119217748773762,3,6
21,0.8227693,0.6401503093100475,5,6
22,0.831491,0.7188185546599214,3,12
23,0.88940835,0.8442224705056676,7,16
24,0.7277982,0.6551209904524832,3,14
25,0.84191704,0.7350381623260057,7,23
26,0.7564271,0.68583616117908,7,39
27,0.8360474,0.6623249077473043,7,15
28,0.8104426,0.7180522443671847,7,66
29,0.8666259,0.8238431518594196,3,3
30,0.8520207,0.7378209196894495,7,33
31,0.84823626,0.7462915036578199,7,9
32,0.750274,0.7224369421239882,3,15
33,0.87982786,0.7938771165573297,7,14
34,0.82688886,0.6659518381773599,3,6
35,0.82249373,0.736701834906853,7,20
36,0.7814597,0.559037220557018,3,6
37,0.84807503,0.7689675063795242,3,11
38,0.78115845,0.6524320620888002,3,18
39,0.8260722,0.7234989622714524,7,38
40,0.7878634,0.6981732450922963,7,15
41,0.8186332,0.781591953149822,3,9
42,0.8546335,0.8173113427630327,3,18
43,0.7672192,0.7119695489871124,7,12
44,0.78053826,0.6886813163531521,3,15
45,0.88119125,0.7862760900076783,7,21
46,0.80349606,0.6772237055618444,7,61
47,0.82575476,0.7711587223023927,3,6
48,0.82428616,0.6995725155493877,7,27
